[2026-07-23 20:19:23] extinction #1 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-23 20:20:46] extinction #2 | ticks: 93 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 1.0
[2026-07-23 20:37:21] extinction #1 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-23 21:02:59] extinction #1 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-23 21:21:48] extinction #1 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-23 21:34:42] extinction #1 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-23 21:45:35] extinction #2 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-23 22:02:58] extinction #3 | ticks: 6668 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 64.9
[2026-07-23 22:30:18] extinction #1 | ticks: 1 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 0.0
[2026-07-23 22:37:50] extinction #2 | ticks: 7553 | max Gen: 9 | avg Ein: 0.0 | avg Eout: 175.2
[2026-07-23 23:46:42] extinction #1 | ticks: 576 | max Gen: 0 | avg Ein: 100.6 | avg Eout: 61.5
[2026-07-23 23:46:45] extinction #2 | ticks: 152 | max Gen: 0 | avg Ein: 0.0 | avg Eout: 73.9
[2026-07-24 00:13:36] extinction #1 | ticks: 83 | max Gen: 0 | avg Ein: 402.3 | avg Eout: 99.1
[2026-07-24 00:15:10] extinction #2 | ticks: 127 | max Gen: 0 | avg Ein: 71.4 | avg Eout: 73.2
[2026-07-24 00:15:25] extinction #3 | ticks: 147 | max Gen: 0 | avg Ein: 70.4 | avg Eout: 70.5
[2026-07-24 09:21:21] extinction #1 | ticks: 9191 | max Gen: 0 | avg Ein: 197.7 | avg Eout: 24.7
[2026-07-24 09:21:22] extinction #2 | ticks: 5420 | max Gen: 0 | avg Ein: 322.8 | avg Eout: 19.7
[2026-07-24 09:21:24] extinction #3 | ticks: 11835 | max Gen: 0 | avg Ein: 167.1 | avg Eout: 5.4
[2026-07-24 09:21:25] extinction #4 | ticks: 7028 | max Gen: 0 | avg Ein: 387.6 | avg Eout: 17.4
[2026-07-24 09:21:26] extinction #5 | ticks: 5298 | max Gen: 2 | avg Ein: 157.0 | avg Eout: 12.3
[2026-07-24 09:21:27] extinction #6 | ticks: 3460 | max Gen: 2 | avg Ein: 291.1 | avg Eout: 26.4
[2026-07-24 09:21:29] extinction #7 | ticks: 11643 | max Gen: 7 | avg Ein: 313.6 | avg Eout: 21.3
[2026-07-24 09:21:30] extinction #8 | ticks: 6436 | max Gen: 1 | avg Ein: 297.4 | avg Eout: 7.6
[2026-07-24 09:21:31] extinction #9 | ticks: 6255 | max Gen: 0 | avg Ein: 240.1 | avg Eout: 10.3
[2026-07-24 09:21:32] extinction #10 | ticks: 3959 | max Gen: 0 | avg Ein: 208.5 | avg Eout: 18.1
[2026-07-24 09:21:33] extinction #11 | ticks: 6154 | max Gen: 0 | avg Ein: 668.2 | avg Eout: 5.2
[2026-07-24 09:21:35] extinction #12 | ticks: 7849 | max Gen: 1 | avg Ein: 319.7 | avg Eout: 38.4
[2026-07-24 09:21:36] extinction #13 | ticks: 9982 | max Gen: 1 | avg Ein: 781.0 | avg Eout: 8.2
[2026-07-24 09:21:37] extinction #14 | ticks: 4293 | max Gen: 0 | avg Ein: 541.6 | avg Eout: 15.9
[2026-07-24 09:21:38] extinction #15 | ticks: 5623 | max Gen: 7 | avg Ein: 93.2 | avg Eout: 15.9
[2026-07-24 09:21:39] extinction #16 | ticks: 9722 | max Gen: 2 | avg Ein: 157.3 | avg Eout: 4.5
[2026-07-24 09:21:48] extinction #17 | ticks: 5215 | max Gen: 1 | avg Ein: 564.7 | avg Eout: 14.9
[2026-07-24 09:21:50] extinction #18 | ticks: 11405 | max Gen: 1 | avg Ein: 511.6 | avg Eout: 9.3
[2026-07-24 09:21:51] extinction #19 | ticks: 14142 | max Gen: 1 | avg Ein: 469.5 | avg Eout: 2.5
[2026-07-24 09:21:53] extinction #20 | ticks: 7043 | max Gen: 1 | avg Ein: 367.7 | avg Eout: 20.6
[2026-07-24 09:21:54] extinction #21 | ticks: 3152 | max Gen: 1 | avg Ein: 223.0 | avg Eout: 15.2
[2026-07-24 09:21:56] extinction #22 | ticks: 5314 | max Gen: 1 | avg Ein: 285.3 | avg Eout: 8.3
[2026-07-24 09:21:58] extinction #23 | ticks: 10356 | max Gen: 1 | avg Ein: 432.0 | avg Eout: 5.3
[2026-07-24 09:21:59] extinction #24 | ticks: 3181 | max Gen: 0 | avg Ein: 457.0 | avg Eout: 24.1
[2026-07-24 09:22:01] extinction #25 | ticks: 9859 | max Gen: 1 | avg Ein: 449.7 | avg Eout: 2.3
[2026-07-24 09:22:02] extinction #26 | ticks: 6366 | max Gen: 1 | avg Ein: 811.8 | avg Eout: 21.1
[2026-07-24 09:22:04] extinction #27 | ticks: 9103 | max Gen: 1 | avg Ein: 948.2 | avg Eout: 4.1
[2026-07-24 09:22:05] extinction #28 | ticks: 4518 | max Gen: 1 | avg Ein: 157.8 | avg Eout: 11.9
[2026-07-24 09:22:06] extinction #29 | ticks: 7569 | max Gen: 0 | avg Ein: 1126.9 | avg Eout: 8.5
[2026-07-24 09:55:12] extinction #1 | ticks: 15189 | max Gen: 0 | avg Ein: 467.3 | avg Eout: 4.4
[2026-07-24 09:55:14] extinction #2 | ticks: 5767 | max Gen: 1 | avg Ein: 107.9 | avg Eout: 20.5
